,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCD3,6410.257502,0.14008348,0.054299109,2.579848573,0.009884365,0.073134316
ABCD4,1038.3291,0.052283493,0.02955688,1.768911097,0.076908712,0.298392107
ABCE1,1.393321973,-0.134023251,0.144005566,-0.930681049,0.352018575,0.762795662
ABCF1,4550.9784,0.014289006,0.060248173,0.237169111,0.812525598,0.999991981
ABCF2,3494.210802,-0.026251315,0.028985882,-0.905658665,0.365116548,0.777857965
ABCF2P1,0.192314745,-0.065898777,0.439222208,-0.150035166,0.880736871,0.999991981
ABCF2P2,0.513718396,-0.140267375,0.152367317,-0.920587024,0.35726608,0.768845607
ABCF3,5018.610905,-0.059387137,0.02878943,-2.062810421,0.039130644,0.189907867
ABCG1,2646.394067,-0.130560899,0.035860354,-3.640814558,0.000271777,0.005336248
ABCG2,431.1237831,0.513974178,0.16221693,3.168437334,0.001532608,0.019344237
ABCG5,619.4939348,0.000769162,0.03436757,0.022380445,0.982144479,0.999991981
ABCG8,225.9598672,0.281648336,0.102405353,2.750328261,0.005953559,0.051245784
ABHD1,30689.09384,-0.032644061,0.046806875,-0.69742021,0.485539857,0.901616868
ABHD10,88.73117336,0.058080345,0.07223376,0.804060948,0.421361777,0.839801288
ABHD11,2414.997274,0.1712671,0.056279092,3.04317453,0.002340965,0.026156845
ABHD11.AS1,2.216242568,0.056112155,0.142440677,0.393933507,0.693630132,0.999991981
ABHD12,19148.02644,0.009667046,0.058231087,0.16601178,0.86814768,0.999991981
ABHD12B,458.9272744,0.009895241,0.029200719,0.338869765,0.734707843,0.999991981
ABHD13,317.399787,-0.160301448,0.092021392,-1.742001998,0.081508095,0.310708285
ABHD14A,51.22730349,0.075930015,0.179872009,0.422133579,0.672927519,0.999991981
ABHD14A.ACY1,1675.914061,-0.042803177,0.033849148,-1.264527436,0.20604078,0.556175752
ABHD14B,488.0372149,0.171608675,0.181062181,0.947788621,0.343237075,0.753543961
ABHD15,1843.209974,0.113757656,0.057681934,1.972153982,0.048592031,0.219822082
ABHD15.AS1,0.187075085,-0.096243003,0.503305383,-0.191221883,0.84835176,0.999991981
ABHD16A,1189.199997,-0.113036278,0.050211063,-2.25122256,0.024371445,0.137064248
ABHD16B,52.34622547,0.593952783,0.109597872,5.419382428,5.98E-08,6.93E-06
ABHD17A,3202.056712,-0.000626708,0.02700345,-0.023208445,0.981484002,0.999991981
ABHD17AP1,0.935353381,0.063092158,0.226417742,0.278653774,0.780510541,0.999991981
ABHD17AP3,0.102892976,-0.045351798,0.892365594,-0.050821993,0.959467365,0.999991981
ABHD17AP4,26.02829048,-0.006326035,0.073793058,-0.0857267,0.931683677,0.999991981
ABHD17AP5,236.7622984,0.029892298,0.067247794,0.444509723,0.656674101,0.999991981
ABHD17AP6,7.469612232,0.171301906,0.412783692,0.414991941,0.678147803,0.999991981
ABHD17AP7,0.081868738,-0.418080259,1.54804897,-0.270069143,0.787107061,0.999991981
ABHD17AP8,1.506266624,-0.01255488,0.127066645,-0.098805473,0.921292723,0.999991981
ABHD17B,5428.565509,0.055737276,0.033135584,1.68209728,0.092549978,0.336530417
ABHD17C,1.226362952,0.094489405,0.14383997,0.656906458,0.511241066,0.923116916
ABHD18,11.11705538,0.015035523,0.104960882,0.143248823,0.886093672,0.999991981
ABHD2,59.73096698,-0.18332535,0.430566983,-0.425776609,NA,NA
ABHD3,32.78452444,-0.14397044,0.092543138,-1.555711673,0.11977667,0.396542619
ABHD4,136.6823862,0.00891983,0.131838942,0.067657021,0.946058663,0.999991981
ABHD5,782.3073077,-0.179448503,0.043916787,-4.086102701,4.39E-05,0.001335704
ABHD6,12.56357196,0.072402556,0.089685817,0.807291034,0.419498829,0.837961441
ABHD8,337.1670608,0.491571943,0.133245031,3.689232826,0.000224931,0.004637923
ABI1,3598.812599,0.056466058,0.070987299,0.795438877,0.426358253,0.844916825
ABI1P1,1.456252773,-0.355525382,0.119405216,-2.977469438,0.002906386,0.030588307
ABI2,11678.79318,-0.161976797,0.050776373,-3.19000329,0.001422712,0.018241871
ABI3,574.6046117,0.350145185,0.070845078,4.942406668,7.72E-07,5.59E-05
ABI3BP,835.1401586,0.080345409,0.060207054,1.334484985,0.182044964,0.51717725
ABITRAM,11403.34801,0.015925095,0.031082058,0.512356517,0.608401517,0.99693445
ABITRAMP1,0.095248334,-0.078907219,0.732304934,-0.10775186,0.914192531,0.999991981
ABL1,233.8455002,0.09604654,0.080504231,1.193062011,0.232845088,0.601316171
ABL2,1727.323265,-0.099735035,0.033680924,-2.961172772,0.0030647,0.031885532
ABLIM1,701.7699856,-0.056134402,0.035850299,-1.56580009,0.117395425,0.391464434
ABLIM2,3166.951819,-0.008771103,0.031963471,-0.274410215,0.783769394,0.999991981
ABLIM3,683.9590457,-0.183609737,0.039545582,-4.642989893,3.43E-06,0.00018203
ABO,1503.519463,-0.017532968,0.089674347,-0.195518214,0.84498728,0.999991981
ABR,842.9523494,0.116402724,0.053831282,2.162362109,0.030590276,0.160512398
ABRA,1102.501652,-0.050457939,0.04934707,-1.022511341,0.306538948,0.707615514
ABRACL,1.984078176,-0.140890817,0.580125324,-0.242862725,0.808111742,0.999991981
ABRAXAS1,772.1186432,0.034232263,0.036901639,0.927662391,0.353582723,0.764527548
ABRAXAS2,0.539109388,-0.056998831,0.328155889,-0.173694373,0.86210566,0.999991981
ABT1,1887.703542,-0.045439663,0.048111099,-0.944473612,0.34492768,0.754978804
ABT1P1,0.02678549,-0.063568962,2.116243916,-0.03003858,0.976036285,0.999991981
ABTB1,4583.277971,-0.02235976,0.035249946,-0.634320402,0.525871745,0.936502006
ABTB2,110.042233,-0.67261088,0.155417986,-4.32775444,1.51E-05,0.000594564
ACAA1,3544.136385,-0.177079467,0.043040303,-4.114270932,3.88E-05,0.001216758
ACAA2,703.572414,-0.015866295,0.029607312,-0.535891102,0.592033815,0.986581341
ACACA,0.467522748,0.245525934,0.197818561,1.241167327,0.214543942,0.570144172
ACACB,10097.79433,-0.181118807,0.054473768,-3.324881183,0.000884562,0.012848322
ACAD10,3018.115649,-0.002402089,0.034320946,-0.069989021,0.944202398,0.999991981
ACAD11,0.217083905,-0.123836938,0.350504802,-0.353310246,0.723855865,0.999991981
ACAD8,2426.403447,0.017553691,0.030963611,0.566913564,0.570772908,0.971963092
ACAD9,500.5365206,0.264338001,0.126824807,2.084276787,0.037134998,0.183605186
ACADL,1271.467632,0.160444807,0.061794726,2.596415871,0.009420197,0.070611881
